Date		Temps		Protocole	IP_Src		IP_Dest		  	Port_src	Port_Dest   Type_App	Taille  num_seq  	ACK		class_src	class_dest  Masque		pri/pub	   Addr_rés
07/03/2016	15:47:41	TCP		10.0.0.9	192.168.1.10		8670		80	    WEB		64	44		66		A		C	    255.255.255.0	Prive	   10.0.0.0	
14/03/2016	10:46:40	TCP		172.16.0.14	192.168.1.10		7140		80	    WEB		88	12		11		B		C	    255.255.255.0	Prive	   172.16.0.0
14/03/2016	10:50:10	TCP		172.31.20.25	192.168.1.10		7580		80	    WEB		140	9		6		B		C	    255.255.0.0		Prive	   172.31.0.0
14/03/2016	10:50:50	TCP		111.16.20.25	104.90.0.253		1580		32	    SKYPE	140	50		12		A		A	    255.0.0.0		Public	   111.0.0.0
14/03/2016	12:46:40	UDP		165.16.0.1	112.16.0.2		4050		80	    WEB		100	__		__		B		A	    255.255.0.0		Public	   165.16.0.0
14/03/2016	13:00:40	UDP		188.16.0.1	172.123.0.2		8030		80	    WEB		230	__		__		B		B	    255.255.0.0		Public	   188.16.0.0
14/03/2016	13:46:40	TCP		111.16.20.25	104.90.0.253		1580		32	    SKYPE	180	12		51		A		A	    255.0.0.0		Public	   111.0.0.0
14/03/2016	15:46:40	TCP		111.16.20.25	104.90.0.253		1580		80	    WEB		223	51		13		A		A	    255.0.0.0		Public	   111.0.0.0
19/03/2016	11:46:40	UDP		10.0.0.74	172.16.0.2		3830		32	    SKYPE	159	__		__		A		B	    255.0.0.0		Prive	   10.0.0.0
19/03/2016	12:46:40	TCP		188.16.0.1	82.16.0.2		2080		21	    FTP		543	8		2		B		A	    255.255.0.0		public	   188.16.0.0
19/03/2016	15:46:40	TCP		165.16.0.1	200.168.45.190		2800		80	    WEB		159	2		9		B		C	    255.255.0.0		public	   165.16.0.0
20/03/2016	15:46:40	TCP		35.16.0.1	32.126.70.78		2805		80	    WEB		159	7		2		A		A	    255.0.0.0		Public	   35.16.0.1
20/03/2016	15:46:41	TCP		154.90.0.21	110.70.54.233		2500		80	    WEB		159	11		11		B		A	    255.255.0.0		Public	   154.90.0.0
20/03/2016	15:46:42	TCP		165.186.11.76	30.234.8.98		9567		23	    FTP		159	9		8		B		A	    255.255.0.0		Public	   165.186.0.0
20/03/2016	15:46:40	TCP		111.160.100.1	12.16.60.2		4560		80	    WEB		159	12		8		A		A	    255.0.0.0		Public	   111.0.0.0
21/03/2016	09:04:50	TCP		19.132.50.109	112.16.12.2		4900		22	    SSH		250	3		34		A		A	    255.0.0.0		Public	   19.0.0.0
21/03/2016	09:04:50	TCP		19.132.50.109	112.16.12.2		4900		22	    SSH		250	34		4		A		A	    255.0.0.0		Public	   19.0.0.0
21/03/2016	09:04:50	TCP		19.132.50.109	112.16.12.2		4900		22	    SSH		250	4		35		A		A	    255.0.0.0		Public	   19.0.0.0
11/01/2017	13:46:41	TCP		122.16.1.40	60.47.3.9		2200		80	    WEB		64	55		40		A		A	    255.0.0.0		Public	   122.0.0.0
16/01/2017	16:45:41	UDP		122.16.1.40	60.47.3.9		2400		80	    WEB		64	__		__		A		A	    255.0.0.0		Public	   122.0.0.0
